id,name,city,state,description,latitude,longitude,image_path,rating
18,Statue of Unity,Kevadia (Narmada),Gujarat,"World’s tallest statue dedicated to Sardar Patel, with museum and viewing gallery",21.838,73.7191,place_images/Statue_of_Unity.jpg,4.6
19,White Rann of Kutch,Dhordo (Kutch),Gujarat,"White salt desert that glows under the moonlight, especially during Rann Utsav",23.862,69.65,place_images/White_Rann_of_Kutch.jpg,4.6
20,Somnath Temple,Somnath (Veraval),Gujarat,"One of the 12 Jyotirlingas, located on the Arabian Sea coast",20.8987,70.3906,place_images/Somnath_Temple.jpg,4.8
21,Dwarkadhish Temple,Dwarka,Gujarat,Ancient city of Lord Krishna and one of the Char Dham pilgrimage sites,22.2411,68.9686,place_images/Dwarkadhish_Temple.jpg,4.7
22,Palitana Temples,Palitana (Bhavnagar),Gujarat,Jain pilgrimage site with over 900 temples on a hilltop,21.5794,71.8528,place_images/Palitana_Temples.jpg,4.9
23,Ambaji Temple,Ambaji (Banaskantha),Gujarat,"Shakti Peetha temple of Goddess Amba, surrounded by scenic hills",24.438,72.8647,place_images/Ambaji_Temple.jpg,4.5
24,Bhalka Tirth,Somnath (Veraval),Gujarat,Site where Lord Krishna is believed to have left his mortal body,20.9237,70.3604,place_images/Bhalka_Tirth.jpg,4.6
25,Girnar Hill Temples,Junagadh,Gujarat,Hill with a series of temples dedicated to Jain and Hindu deities,21.5192,70.4566,place_images/Girnar_Hill_Temples.jpg,4.8
26,Ahmedabad Old City Heritage Walk,Ahmedabad,Gujarat,"UNESCO World Heritage old city with pols, havelis, and heritage walks",23.0225,72.5714,place_images/Ahmedabad_Old_City_Heritage_Walk.jpg,4.5
27,Sabarmati Ashram,Ahmedabad,Gujarat,Peaceful riverside ashram where Mahatma Gandhi lived and led the freedom movement,23.0371,72.5562,place_images/Sabarmati_Ashram.jpg,4.6
28,Science City,Vadodara,Gujarat,Interactive science museum and park for education and family fun,22.3105,73.1932,place_images/Science_City.jpg,4.7
29,ISKCON Temple,Rajkot,Gujarat,Temple complex of the International Society for Krishna Consciousness,22.2914,70.82,place_images/ISKCON_Temple.jpg,4.7
30,Dutch & English Cemetery,Surat,Gujarat,Historical cemetery with Dutch and English tombs from the colonial era,21.191,72.8258,place_images/Dutch_&_English_Cemetery.jpg,4.3
31,Amber Fort,Jaipur,Rajasthan,UNESCO Hill Fort with palaces and underground passage to Jaigarh,26.985901,75.8507,place_images/Amber_Fort.jpg,4.6
32,City Palace,Jaipur,Rajasthan,Royal palace complex featuring museums and lush gardens,26.9257,75.8236,place_images/City_Palace.jpg,4.4
33,Hawa Mahal,Jaipur,Rajasthan,“Palace of Winds” with intricate lattice façade for royal women,26.923889,75.826667,place_images/Hawa_Mahal.jpg,4.5
34,Jantar Mantar,Jaipur,Rajasthan,Astronomical observatory,26.9245,75.824,place_images/Jantar_Mantar.jpg,4.5
35,Jaigarh Fort,Jaipur,Rajasthan,Hilltop fort housing the massive Jaivana cannon,26.9875,75.861,place_images/Jaigarh_Fort.jpg,4.5
36,Nahargarh Fort,Jaipur,Rajasthan,Fort offering panoramic views of Jaipur city,26.9632,75.824,place_images/Nahargarh_Fort.jpg,4.5
37,Jal Mahal,Jaipur,Rajasthan,“Water Palace” set in the middle of Man Sagar Lake,26.9508,75.794,place_images/Jal_Mahal.jpg,4.2
38,Mehrangarh Fort,Jodhpur,Rajasthan,Impressive hill fortress overlooking the Blue City,26.2955,73.0193,place_images/Mehrangarh_Fort.jpg,4.6
39,Umaid Bhawan Palace,Jodhpur,Rajasthan,Palace and museum,26.3075,73.0243,place_images/Umaid_Bhawan_Palace.jpg,4.5
40,Mandore Gardens,Jodhpur,Rajasthan,Historic gardens with cenotaphs of Marwar rulers,26.3078,73.0093,place_images/Mandore_Gardens.jpg,4.3
41,Jaisalmer Fort,Jaisalmer,Rajasthan,Living sandstone desert fort,26.9158,70.9124,place_images/Jaisalmer_Fort.jpg,4.4
42,Patwon Ki Haveli,Jaisalmer,Rajasthan,Cluster of ornate Jain havelis,26.9152,70.9131,place_images/Patwon_Ki_Haveli.jpg,4.3
43,Sam Sand Dunes,Sam,Rajasthan,Desert dunes perfect for camel safaris and sunsets,26.8783,70.9072,place_images/Sam_Sand_Dunes.jpg,4.8
44,Bada Bagh,Jaisalmer,Rajasthan,Chhatri cenotaphs of Jaisalmer royalty,26.9316,70.8841,place_images/Bada_Bagh.jpg,4.3
45,Osian Temples,Osian,Rajasthan,Ancient Hindu and Jain temples in the desert,26.435,70.0833,place_images/Osian_Temples.jpg,4.7
46,Chittorgarh Fort,Chittorgarh,Rajasthan,"Largest fort in India, tales of Rajput valor",24.8868,74.629799,place_images/Chittorgarh_Fort.jpg,4.6
47,Ranakpur Temples,Ranakpur,Rajasthan,Jain temple complex nestled in Aravalli forests,24.8702,73.4118,place_images/Ranakpur_Temples.jpg,4.7
48,Pushkar Lake & Temple,Pushkar,Rajasthan,"Sacred lake with Brahma temple,  camel fair site",26.4898,74.5562,place_images/Pushkar_Lake_&_Temple.jpg,4.6
49,Brahma Temple,Pushkar,Rajasthan,One of the rare temples dedicated to Lord Brahma,26.4844,74.5556,place_images/Brahma_Temple.jpg,4.6
50,Dilwara Temples,Mount Abu,Rajasthan,Marble Jain temples and hill station retreat,24.5922,72.7123,place_images/Dilwara_Temples.jpg,4.6
51,Trevor’s Tank & Honeymoon Point,Mount Abu,Rajasthan,Scenic viewpoints at Rajasthan’s only hill station,24.5667,72.7069,place_images/Trevor’s_Tank_&_Honeymoon_Point.jpg,4.2
52,Gadisar Lake,Jaisalmer,Rajasthan,Historic artificial lake with ghats and birdlife,26.9271,70.911,place_images/Gadisar_Lake.jpg,4.4
53,Sariska Tiger Reserve,Sariska,Rajasthan,Wildlife sanctuary known for tigers and leopards,26.8106,76.4492,place_images/Sariska_Tiger_Reserve.jpg,4.3
54,Bundi Palace,Bundi,Rajasthan,Palace with intricate frescos and cliffside architecture,25.4288,75.6413,place_images/Bundi_Palace.jpg,4.4
55,Chaurasi Khambon ki Chhatri,Bundi,Rajasthan,Eighty-four pillar cenotaph with ornate pillars,25.4302,75.6421,place_images/Chaurasi_Khambon_ki_Chhatri.jpg,4.6
56,Taragarh Fort,Bundi,Rajasthan,Hill fort overlooking serene Bundi town,25.4249,75.6389,place_images/Taragarh_Fort.jpg,4.3
57,Keoladeo National Park,Bharatpur,Rajasthan,UNESCO bird sanctuary popular among birdwatchers,27.1669,77.4902,place_images/Keoladeo_National_Park.jpg,4.4
58,Deeg Palace,Deeg,Rajasthan,Former royal residence with water palaces and fountains,27.5396,77.5324,place_images/Deeg_Palace.jpg,4.4
59,Govind Dev Ji Temple,Jaipur,Rajasthan,Major Krishna temple in the City Palace complex,26.9236,75.8208,place_images/Govind_Dev_Ji_Temple.jpg,4.9
60,Galta Ji ,Jaipur,Rajasthan,Temple complex with natural springs and sacred pools,26.9272,75.8594,place_images/Galta_Ji_.jpg,4.4
61,Khajuraho Temples,Khajuraho,Madhya Pradesh,UNESCO temples famed for erotic sculptures,24.84809,79.93351,place_images/Khajuraho_Temples.jpg,4.9
62,Kanha National Park,Kanha,Madhya Pradesh,Tiger reserve inspired The Jungle Book,22.177,80.611,place_images/Kanha_National_Park.jpg,4.5
63,Bandhavgarh National Park,Bandhavgarh,Madhya Pradesh,Sanctuary with high density of Bengal tigers,23.6712,80.6708,place_images/Bandhavgarh_National_Park.jpg,4.4
64,Pench National Park,Pench,Madhya Pradesh,"Biodiverse safari destination, rich forests and fauna",21.8817,79.2966,place_images/Pench_National_Park.jpg,Not Found
65,Pachmarhi,Pachmarhi,Madhya Pradesh,"Satpura hill station known for caves, waterfalls, and treks",22.4619,78.436,place_images/Pachmarhi.jpg,4.5
66,Sanchi Stupa,Sanchi,Madhya Pradesh,3rd-century BCE Buddhist stupas,23.4856,77.7394,place_images/Sanchi_Stupa.jpg,4.7
67,Bhimbetka Caves,Raisen,Madhya Pradesh,Prehistoric rock shelters with ancient cave paintings,23.5807,77.6608,place_images/Bhimbetka_Caves.jpg,4.6
68,Orchha Fort Complex,Orchha,Madhya Pradesh,Riverside palaces and temples of Bundela era,25.325,78.5569,place_images/Orchha_Fort_Complex.jpg,4.5
69,Gwalior Fort,Gwalior,Madhya Pradesh,Historic hill fort with palaces and museums,26.2247,78.1798,place_images/Gwalior_Fort.jpg,4.5
70,Ujjain Mahakaleshwar Temple,Ujjain,Madhya Pradesh,One of the 12 Jyotirlinga shrines dedicated to Lord Shiva,23.18147,75.77969,place_images/Ujjain_Mahakaleshwar_Temple.jpg,4.8
71,Omkareshwar Temple,Omkareshwar,Madhya Pradesh,Island Jyotirlinga temple shaped like the “Om” symbol,22.2503,75.8524,place_images/Omkareshwar_Temple.jpg,4.6
72,Chitrakoot Falls,Chhindwara,Madhya Pradesh,Niagara of India—seasonal waterfall on Indravati River,22.35,80.493,place_images/Chitrakoot_Falls.jpg,4.6
73,Mandu,Mandu,Madhya Pradesh,Romantic ruined city on Vindhya plateau with Afghan-era architecture,22.0499,75.365,place_images/Mandu.jpg,4.2
74,Khajwa Falls,Satna,Madhya Pradesh,Scenic waterfall in dense forests,24.6,81.2,place_images/Khajwa_Falls.jpg,4.5
75,Gandhi Sagar Dam,Mandsaur,Madhya Pradesh,Reservoir with wildlife sanctuary and boating facilities,24.025,75.07,place_images/Gandhi_Sagar_Dam.jpg,Not Found
76,Bhedaghat Marble Rocks,Jabalpur,Madhya Pradesh,Dramatic marble gorge along the Narmada River,23.1689,79.9372,place_images/Bhedaghat_Marble_Rocks.jpg,4.7
77,Dhuandhar Falls,Jabalpur,Madhya Pradesh,Majestic waterfall creating smoky mist over Narmada river,23.1588,79.9441,place_images/Dhuandhar_Falls.jpg,4.5
78,Jabalpur Madan Mahal Fort,Jabalpur,Madhya Pradesh,Historic hilltop fort offering panoramic city views,23.18,79.937,place_images/Jabalpur_Madan_Mahal_Fort.jpg,Not Found
79,Indore Sarafa Bazaar,Indore,Madhya Pradesh,Vibrant night market famous for street food,22.71792,75.83342,place_images/Indore_Sarafa_Bazaar.jpg,4.8
80,Khajrana Ganesh Temple,Indore,Madhya Pradesh,Popular temple dedicated to Lord Ganesh,22.7427,75.8826,place_images/Khajrana_Ganesh_Temple.jpg,4.8
81,Maheshwar,Maheshwar,Madhya Pradesh,Riverside town with Ahilya Devi Holkar’s palace on Narmada,22.35158,75.89947,place_images/Maheshwar.jpg,4.2
82,Omkareshwar Ghats,Omkareshwar,Madhya Pradesh,Holy ghats along Narmada river for pilgrims,22.248,75.852,place_images/Omkareshwar_Ghats.jpg,4.5
83,Tulsishyam Hot Springs,Alirajpur,Madhya Pradesh,Natural hot springs known for therapeutic value,21.815,74.555,place_images/Tulsishyam_Hot_Springs.jpg,4.6
84,Rewa White Tigers Rescue Center,Rewa,Madhya Pradesh,Conservation center for white tigers,24.536,81.284,place_images/Rewa_White_Tigers_Rescue_Center.jpg,4.3
85,Kuno National Park,Sheopur,Madhya Pradesh,Wildlife reserve planned for tiger relocation,25.182,78.39,place_images/Kuno_National_Park.jpg,4.4
86,Chandela Museum,Khajuraho,Madhya Pradesh,Museum showcasing cultural artifacts from Khajuraho temples,24.85,79.933,place_images/Chandela_Museum.jpg,4.3
87,"Dhugin Hall, Bhopal",Bhopal,Madhya Pradesh,Modern cultural venue by Upper Lake,23.2679,77.41,"place_images/Dhugin_Hall,_Bhopal.jpg",3.4
88,Upper Lake Boating,Bhopal,Madhya Pradesh,Recreational boating on Bhopal’s largest lake,23.2599,77.4,place_images/Upper_Lake_Boating.jpg,4.4
89,Bhimbetka Gond Art Stalls,Raisen,Madhya Pradesh,Local craft stalls near rock shelter site,23.5807,77.6608,place_images/Bhimbetka_Gond_Art_Stalls.jpg,4.6
90,Gandhi Bhawan,Bhopal,Madhya Pradesh,Central museum dedicated to Mahatma Gandhi’s life,23.2595,77.4126,place_images/Gandhi_Bhawan.jpg,4.2
91,Cellular Jail,Port Blair,Andaman and Nicobar Islands,"Historic colonial prison, now a national memorial",11.675,92.748,place_images/Cellular_Jail.jpg,4.7
92,Radhanagar Beach,Havelock Island,Andaman and Nicobar Islands,Pristine white sand beach,11.995,92.981,place_images/Radhanagar_Beach.jpg,4.8
93,Elephant Beach,Havelock Island,Andaman and Nicobar Islands,Popular snorkeling and water sports spot,11.919,92.977,place_images/Elephant_Beach.jpg,4.6
94,Neil Island,Neil Island,Andaman and Nicobar Islands,Laid-back island known for reefs,11.755,92.716,place_images/Neil_Island.jpg,4.7
95,Ross Island,Port Blair,Andaman and Nicobar Islands,Ruins of colonial administrative HQ,11.622,92.726,place_images/Ross_Island.jpg,4.7
96,Baratang Island,Baratang Island,Andaman and Nicobar Islands,Limestone caves and mud volcanoes,11.663,92.816,place_images/Baratang_Island.jpg,4.5
97,North Bay Island,North Bay,Andaman and Nicobar Islands,Coral viewing & glass‑bottom boats,11.7,92.758,place_images/North_Bay_Island.jpg,4.3
98,Chidiya Tapu,Port Blair,Andaman and Nicobar Islands,Sunset viewpoint & birding spot,11.633,92.684,place_images/Chidiya_Tapu.jpg,4.4
99,Mahatma Gandhi Marine National Park,Wandoor,Andaman and Nicobar Islands,Protected coral reef park with snorkeling,11.516,92.712,place_images/Mahatma_Gandhi_Marine_National_Park.jpg,4.5
100,Mount Harriet National Park,Port Blair,Andaman and Nicobar Islands,Hilltop park with panoramic sea views,11.626,92.764,place_images/Mount_Harriet_National_Park.jpg,4.5
101,Viper Island,Port Blair,Andaman and Nicobar Islands,Historic penal site predating Cellular Jail,11.65,92.741,place_images/Viper_Island.jpg,4.4
102,Barren Island,Barren Island,Andaman and Nicobar Islands,India’s only active volcano,12.277,93.86,place_images/Barren_Island.jpg,4.3
103,Tirumala Venkateswara Temple,Tirupati,Andhra Pradesh,Famous Hindu pilgrimage site,13.6833,79.35,place_images/Tirumala_Venkateswara_Temple.jpg,4.7
104,Araku Valley,Araku,Andhra Pradesh,Scenic hill station with coffee plantations,18.3277,82.8776,place_images/Araku_Valley.jpg,4.3
105,Borra Caves,Visakhapatnam,Andhra Pradesh,Limestone caves with stalactites and stalagmites,18.35,82.6667,place_images/Borra_Caves.jpg,4.5
106,Kailasagiri,Visakhapatnam,Andhra Pradesh,Hilltop park with sea views and statues,17.72,83.296,place_images/Kailasagiri.jpg,4.1
107,Rushikonda Beach,Visakhapatnam,Andhra Pradesh,Popular water-sports beach,17.779,83.393,place_images/Rushikonda_Beach.jpg,4.5
108,Undavalli Caves,Vijayawada,Andhra Pradesh,4th-century rock-cut cave temples,16.5,80.65,place_images/Undavalli_Caves.jpg,4.2
109,Amaravati Stupa,Amaravati,Andhra Pradesh,Ancient Buddhist monument,16.547,80.653,place_images/Amaravati_Stupa.jpg,4.4
110,Lepakshi Temple,Lepakshi,Andhra Pradesh,Temple with hanging pillar,13.78,77.65,place_images/Lepakshi_Temple.jpg,4.7
111,Ahobilam,Kurnool,Andhra Pradesh,Sacred shrines of Lord Narasimha,15.233,78.667,place_images/Ahobilam.jpg,4.9
112,Gandikota ,Kadapa,Andhra Pradesh,Fort on dramatic river gorge,14.427,78.238,place_images/Gandikota_.jpg,3.9
113,Sri Kalahasti Temple,Srikalahasti,Andhra Pradesh,Vayu Lingam Shiva temple,13.749,79.698,place_images/Sri_Kalahasti_Temple.jpg,4.7
114,Belum Caves,Kurnool,Andhra Pradesh,Second-largest cave system in India,15.4167,78.75,place_images/Belum_Caves.jpg,4.4
115,Rajahmundry Ghats,Rajahmundry,Andhra Pradesh,Pilgrim ghats & river boat rides,16.989,81.796,place_images/Rajahmundry_Ghats.jpg,4.4
116,Kolleru Lake,Eluru,Andhra Pradesh,Freshwater lake & bird sanctuary,16.5833,81.0167,place_images/Kolleru_Lake.jpg,4.2
117,Papikonda Hills,Rajahmundry,Andhra Pradesh,Hill cruises along the Godavari River,17.0,81.8,place_images/Papikonda_Hills.jpg,4.3
118,Simhachalam Temple,Visakhapatnam,Andhra Pradesh,Lord Narasimha shrine,17.785,83.297,place_images/Simhachalam_Temple.jpg,4.7
119,Maredumilli Forest,Maredumilli,Andhra Pradesh,Eco‑tourism area with waterfalls,17.2667,81.8667,place_images/Maredumilli_Forest.jpg,4.4
120,Vijayawada Durga Temple,Vijayawada,Andhra Pradesh,Temple on Indrakeeladri hill,16.506,80.648,place_images/Vijayawada_Durga_Temple.jpg,4.7
121,ISKCON Temple,Tirupati,Andhra Pradesh,Krishna worship and cultural center,13.641,79.417,place_images/ISKCON_Temple.jpg,4.7
122,Manginapudi Beach,Machilipatnam,Andhra Pradesh,Black‑sand beach by Bay of Bengal,16.188,81.135,place_images/Manginapudi_Beach.jpg,4.1
123,Tawang Monastery,Tawang,Arunachal Pradesh,Largest Buddhist monastery in India,27.586,92.279,place_images/Tawang_Monastery.jpg,4.7
124,Sela Pass,Tawang,Arunachal Pradesh,Snow-covered mountain pass,27.605,92.008,place_images/Sela_Pass.jpg,4.8
125,Ziro Valley,Ziro,Arunachal Pradesh,UNESCO-style rice fields & tribal culture,27.6167,93.8167,place_images/Ziro_Valley.jpg,3.9
126,Namdapha National Park,Changlang,Arunachal Pradesh,Diverse wildlife reserve in eastern Himalayas,27.2,96.35,place_images/Namdapha_National_Park.jpg,4.4
127,Bomdila Monastery,Bomdila,Arunachal Pradesh,Scenic Buddhist monastery in the hills,27.25,92.4,place_images/Bomdila_Monastery.jpg,4.6
128,Dirang Valley,Dirang,Arunachal Pradesh,Valley with hot springs & monasteries,27.415,92.625,place_images/Dirang_Valley.jpg,4.1
129,Mechuka Valley,Mechuka,Arunachal Pradesh,Remote valley with tribal heritage,28.091,95.303,place_images/Mechuka_Valley.jpg,4.9
130,Itanagar Gompa,Itanagar,Arunachal Pradesh,Buddhist temple in capital city,27.0844,93.6059,place_images/Itanagar_Gompa.jpg,4.5
131,Pakhui Wildlife Sanctuary,Seijosa,Arunachal Pradesh,Tiger reserve & birding hotspot,27.167,92.9,place_images/Pakhui_Wildlife_Sanctuary.jpg,4.2
132,Parshuram Kund,Lohit,Arunachal Pradesh,Pilgrimage site on Lohit River,28.033,95.799,place_images/Parshuram_Kund.jpg,4.5
133,Roing,Roing,Arunachal Pradesh,Gateway to Mayudia Pass & archaeology,28.115,95.525,place_images/Roing.jpg,4.6
134,Bhismaknagar Fort,Roing,Arunachal Pradesh,Ancient fort linked to Harish Chandra legend,28.11,95.51,place_images/Bhismaknagar_Fort.jpg,4.8
135,Kaziranga National Park,Kohora,Assam,UNESCO rhino sanctuary,26.5775,93.1711,place_images/Kaziranga_National_Park.jpg,4.5
136,Majuli Island,Majuli,Assam,World’s largest river island,26.956,94.176,place_images/Majuli_Island.jpg,4.5
137,Kamakhya Temple,Guwahati,Assam,Shakti Peetha atop Nilachal Hill,26.1711,91.7132,place_images/Kamakhya_Temple.jpg,4.6
138,Manas National Park,Barpeta,Assam,Biosphere reserve & tiger park,26.746,91.0,place_images/Manas_National_Park.jpg,4.3
139,Umananda Temple,Guwahati,Assam,Riverside temple on the Brahmaputra,26.155,91.742,place_images/Umananda_Temple.jpg,4.5
140,Sualkuchi,Sualkuchi,Assam,Silk-weaving village,26.22,91.6,place_images/Sualkuchi.jpg,3.9
141,Haflong,Haflong,Assam,Assam’s only hill station,25.152,92.413,place_images/Haflong.jpg,4.5
142,Dibru-Saikhowa National Park,Tinsukia,Assam,Wetland park with birds and wild horses,27.462,95.712,place_images/Dibru-Saikhowa_National_Park.jpg,4.3
143,Pobitora Wildlife Sanctuary,Morigaon,Assam,Rhino sanctuary,26.41,92.38,place_images/Pobitora_Wildlife_Sanctuary.jpg,4.4
144,Tezpur,Tezpur,Assam,Cultural town on Brahmaputra banks,26.637,92.798,place_images/Tezpur.jpg,4.2
145,Sibsagar,Sivasagar,Assam,Ahom-era temples and tanks,26.991,94.643,place_images/Sibsagar.jpg,4.0
146,Hajo,Hajo,Assam,"Sacred to Hindus, Muslims, Buddhists",26.18,91.61,place_images/Hajo.jpg,4.6
147,Barpeta Satra,Barpeta,Assam,Vaishnavite monastery,26.315,91.01,place_images/Barpeta_Satra.jpg,4.7
148,Chandubi Lake,Kamrup,Assam,Earthquake-formed lake,26.016,91.27,place_images/Chandubi_Lake.jpg,4.4
149,Bogamati,Baksa,Assam,Scenic hill-forest picnic spot,26.65,91.5,place_images/Bogamati.jpg,
150,Mahabodhi Temple,Bodh Gaya,Bihar,UNESCO Buddhist site of Buddha’s enlightenment,24.695,84.991,place_images/Mahabodhi_Temple.jpg,4.7
151,Nalanda Ruins,Nalanda,Bihar,Ancient university ruins,25.135,85.442,place_images/Nalanda_Ruins.jpg,4.6
152,Vishnupad Temple,Gaya,Bihar,Temple marking Lord Vishnu’s footprint,24.798,85.001,place_images/Vishnupad_Temple.jpg,4.6
153,Rajgir Hot Springs,Rajgir,Bihar,Sacred hot springs in a mountainous valley,25.03,85.425,place_images/Rajgir_Hot_Springs.jpg,4.3
154,Takht Sri Patna Sahib,Patna,Bihar,Birthplace of Guru Gobind Singh Ji,25.62,85.129,place_images/Takht_Sri_Patna_Sahib.jpg,4.7
155,Golghar,Patna,Bihar,Historic granary with panoramic views,25.602,85.115,place_images/Golghar.jpg,4.2
156,Barabar Caves,Jehanabad,Bihar,Ancient rock-cut caves linked to Jainism,24.768,85.008,place_images/Barabar_Caves.jpg,4.4
157,Mundeshwari Temple,Kaimur,Bihar,One of India’s oldest functional temples,24.721,83.676,place_images/Mundeshwari_Temple.jpg,4.6
158,Ashokan Pillar,Vaishali,Bihar,Pillar marking Buddha’s visit,25.68,85.3,place_images/Ashokan_Pillar.jpg,4.6
159,Kesaria Stupa,Kesariya,Bihar,Large Buddhist stupa,26.738,84.971,place_images/Kesaria_Stupa.jpg,4.3
160,Bihar Museum,Patna,Bihar,Modern museum of state heritage,25.594,85.123,place_images/Bihar_Museum.jpg,4.5
161,Maner Sharif,Patna,Bihar,Sufi shrine complex,25.555,85.036,place_images/Maner_Sharif.jpg,4.1
162,Bodhgaya Museum,Bodh Gaya,Bihar,Artifacts from Buddhist & Mauryan eras,24.695,84.992,place_images/Bodhgaya_Museum.jpg,4.2
163,Kakolat Waterfall,Nawada,Bihar,Picturesque waterfall with mythological ties,24.886,85.594,place_images/Kakolat_Waterfall.jpg,4.3
164,Eco Park,Patna,Bihar,Urban lakeside recreational park,25.59,85.14,place_images/Eco_Park.jpg,4.5
165,Chitrakote Falls,Jagdalpur,Chhattisgarh,"India’s widest waterfall, called “Niagara of India”",19.096,82.049,place_images/Chitrakote_Falls.jpg,4.6
166,Tirathgarh Falls,Jagdalpur,Chhattisgarh,Multi-tiered waterfall in Kanger Valley NP,19.088,82.065,place_images/Tirathgarh_Falls.jpg,4.6
167,Barnawapara Sanctuary,Mahasamund,Chhattisgarh,Rich flora and fauna sanctuary,21.2,82.077,place_images/Barnawapara_Sanctuary.jpg,4.4
168,Kanger Valley NP,Jagdalpur,Chhattisgarh,"Caves, streams, and dense forest",19.055,82.107,place_images/Kanger_Valley_NP.jpg,4.2
169,Danteshwari Temple,Dantewada,Chhattisgarh,Ancient Shakti Peetha shrine,18.904,81.35,place_images/Danteshwari_Temple.jpg,4.6
170,Bhoramdeo Temple,Kawardha,Chhattisgarh,10th-century temple complex,22.004,81.238,place_images/Bhoramdeo_Temple.jpg,4.4
171,Sirpur Archaeological Site,Mahasamund,Chhattisgarh,Ruins of Buddhist & Hindu temples,21.166,82.103,place_images/Sirpur_Archaeological_Site.jpg,4.5
172,Rajim,Rajim,Chhattisgarh,Spiritual “Prayagraj” of Chhattisgarh,21.251,82.06,place_images/Rajim.jpg,4.3
173,Mainpat,Mainpat,Chhattisgarh,Hill station with Tibetan colony,23.373,83.855,place_images/Mainpat.jpg,4.2
174,Bastar Palace,Jagdalpur,Chhattisgarh,Heritage royal residence,19.071,82.028,place_images/Bastar_Palace.jpg,
175,Kutumsar Caves,Kanger Valley,Chhattisgarh,Deep limestone cave system,19.058,82.11,place_images/Kutumsar_Caves.jpg,4.5
176,Maitri Bagh Zoo,Bhilai,Chhattisgarh,Zoo with musical fountain and garden,21.207,81.369,place_images/Maitri_Bagh_Zoo.jpg,4.0
177,Dongargarh Temple,Dongargarh,Chhattisgarh,Hill‑top Maa Bambleshwari shrine,21.352,81.542,place_images/Dongargarh_Temple.jpg,4.6
178,Madku Dweep,Bilaspur,Chhattisgarh,River island with archaeological remnants,22.103,82.085,place_images/Madku_Dweep.jpg,4.1
179,Jogimara Caves,Ramgarh,Chhattisgarh,Ancient caves with prehistoric art,22.123,82.12,place_images/Jogimara_Caves.jpg,4.1
180,Devka Beach,Daman,Daman and Diu,Popular beach with amusement park and promenade,20.408,72.828,place_images/Devka_Beach.jpg,4.1
